School,SRC School ID,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2015-16 Learning Network,2016-17 Learning Network,Notes,Overall Score,Overall Tier,Overall City Rank,Overall Peer Rank,Ach Score,Ach Tier,Ach City Rank,Ach Peer Rank,Prog Score,Prog Tier,Prog City Rank,Prog Peer Rank,Clim Score,Clim Tier,Clim City Rank,Clim Peer Rank,CC Score,CC Tier,CC City Rank,CC Peer Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L20P) Score,Keystone Alg1 AGI (L20P) Pts Earn,Keystone Alg1 AGI (L20P) Pts Poss,Keystone Alg1 AGI (L20P) Pct Earn,Keystone Alg1 AGI (L20P) Tier,Keystone Bio AGI (L20P) Score,Keystone Bio AGI (L20P) Pts Earn,Keystone Bio AGI (L20P) Pts Poss,Keystone Bio AGI (L20P) Pct Earn,Keystone Bio AGI (L20P) Tier,Keystone Lit AGI (L20P) Score,Keystone Lit AGI (L20P) Pts Earn,Keystone Lit AGI (L20P) Pts Poss,Keystone Lit AGI (L20P) Pct Earn,Keystone Lit AGI (L20P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Samuel Fels High School,712,HS,High School,5500 Langdon St.,Philadelphia,PA,19124,215-537-2516,215-537-2556,District,N/A,994,www.philasd.org/schools/fels,'9-12',Neighborhood,1,Neighborhood Network 7,Neighborhood Network 7,,12,INTERVENE,67th out of 83,7th out of 12,4,INTERVENE,48th out of 79,5th out of 12,18,INTERVENE,63rd out of 83,6th out of 12,14,INTERVENE,69th out of 84,8th out of 12,7,INTERVENE,63rd out of 77,6th out of 11,5,578,0,8,0,INTERVENE,0,578,.02,1.5,1,INTERVENE,5,372,0,8,0,INTERVENE,0,372,0,1.5,0,INTERVENE,20,349,0,8,0,INTERVENE,0,349,0,1.5,0,INTERVENE,28,154,1.29,1.5,86,MODEL,-9.15,0,6.5,0,INTERVENE,-5.89,0,6.5,0,INTERVENE,-2.75,0,6.5,0,INTERVENE,85,497,4.03,8,50,REINFORCE,49,114,1.09,6,18,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.31,.35,1.5,23,INTERVENE,1.82,1.41,1.5,94,MODEL,-1.39,0,1.5,0,INTERVENE,19,1163,0,8,0,INTERVENE,21,1163,17,1163,10,1163,34,1163,76,962,.34,6,6,INTERVENE,100,1163,.5,.5,100,MODEL,86,1163,1.33,2.5,53,REINFORCE,55,.55,1,55,REINFORCE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,67,289,0,4.5,0,INTERVENE,34,206,.23,1.5,15,INTERVENE,2,208,0,1,0,INTERVENE,21,208,77,208,0,208,0,1,0,INTERVENE,53,208,47,208,38,208,.25,1,25,WATCH,24,.24,1,24,INTERVENE,2,23,54,38
Abraham Lincoln High School,801,HS,High School,3201 Ryan Ave.,Philadelphia,PA,19136,215-335-5653,215-335-5997,District,N/A,1534,www.philasd.org/schools/lincoln,'9-12',Neighborhood,4,Neighborhood Network 9,Neighborhood Network 9,,13,INTERVENE,64th out of 83,17th out of 19,7,INTERVENE,39th out of 79,14th out of 19,21,INTERVENE,56th out of 83,15th out of 19,12,INTERVENE,74th out of 84,18th out of 20,8,INTERVENE,61st out of 77,16th out of 18,6,569,0,8,0,INTERVENE,1,569,.05,1.5,4,INTERVENE,8,527,0,8,0,INTERVENE,0,527,.01,1.5,1,INTERVENE,24,289,.35,8,4,INTERVENE,1,289,.08,1.5,6,INTERVENE,36,173,1.5,1.5,100,MODEL,-6.65,0,6.5,0,INTERVENE,-5.93,0,6.5,0,INTERVENE,-4.86,0,6.5,0,INTERVENE,80,761,2.78,8,35,WATCH,57,149,2.05,6,34,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.31,1.5,1.5,100,MODEL,3.28,1.5,1.5,100,MODEL,-2.54,0,1.5,0,INTERVENE,15,1767,0,8,0,INTERVENE,18,1767,15,1767,10,1767,43,1767,76,1387,.59,6,10,INTERVENE,100,1767,.5,.5,100,MODEL,78,1767,.68,2.5,27,WATCH,56,.56,1,56,REINFORCE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,66,370,0,4.5,0,INTERVENE,35,257,.28,1.5,19,INTERVENE,11,274,.03,1,3,INTERVENE,31,274,58,274,3,274,0,1,0,INTERVENE,44,274,54,274,35,274,.2,1,20,INTERVENE,29,.29,1,29,WATCH,8,56,67,44
Northeast High School,802,HS,High School,1601 Cottman Ave.,Philadelphia,PA,19111,215-728-5018,215-728-5004,District,N/A,3144,www.nehs.phila.k12.pa.us,'9-12',Neighborhood,4,Neighborhood Network 8,Neighborhood Network 8,,26,WATCH,47th out of 83,15th out of 19,25,WATCH,18th out of 79,7th out of 19,17,INTERVENE,64th out of 83,17th out of 19,48,WATCH,50th out of 84,15th out of 20,22,INTERVENE,50th out of 77,13th out of 18,24,837,.45,8,6,INTERVENE,6,837,.39,1.5,26,WATCH,41,448,2.11,8,26,WATCH,13,448,.75,1.5,50,REINFORCE,42,727,2.2,8,27,WATCH,2,727,.12,1.5,8,INTERVENE,32,664,1.5,1.5,100,MODEL,-11.95,0,6.5,0,INTERVENE,-1.38,0,6.5,0,INTERVENE,-3.45,0,6.5,0,INTERVENE,85,1969,4.01,8,50,REINFORCE,56,326,1.94,6,32,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.04,0,1.5,0,INTERVENE,.19,.6,1.5,40,WATCH,-6.19,0,1.5,0,INTERVENE,32,3385,1.91,8,24,INTERVENE,25,3385,15,3385,8,3385,20,3385,87,3040,6,6,100,MODEL,100,3385,.5,.5,100,MODEL,85,3385,1.24,2.5,50,REINFORCE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,1,0,1,0,INTERVENE,77,673,.41,4.5,9,INTERVENE,58,575,.89,1.5,60,REINFORCE,26,576,.41,1,41,WATCH,17,576,57,576,10,576,.01,1,1,INTERVENE,51,576,38,576,51,576,.52,1,52,REINFORCE,0,0,1,0,INTERVENE,7,18,63,0
George Washington High School,803,HS,High School,10175 Bustleton Ave.,Philadelphia,PA,19116,215-961-2001,215-961-2545,District,N/A,1751,www.philasd.org/schools/gwhs,'9-12',Neighborhood,4,Neighborhood Network 8,Neighborhood Network 8,,10,INTERVENE,70th out of 83,18th out of 19,13,INTERVENE,26th out of 79,11th out of 19,6,INTERVENE,78th out of 83,18th out of 19,9,INTERVENE,76th out of 84,19th out of 20,13,INTERVENE,57th out of 77,15th out of 18,9,622,0,8,0,INTERVENE,1,622,.06,1.5,4,INTERVENE,9,462,0,8,0,INTERVENE,1,462,.08,1.5,5,INTERVENE,43,190,2.26,8,28,WATCH,1,190,.06,1.5,4,INTERVENE,42,184,1.5,1.5,100,MODEL,-15.85,0,6.5,0,INTERVENE,-14.62,0,6.5,0,INTERVENE,-.97,.07,6.5,1,INTERVENE,78,935,2.01,8,25,WATCH,33,172,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.71,0,1.5,0,INTERVENE,-.7,.15,1.5,10,INTERVENE,-2.54,0,1.5,0,INTERVENE,23,1868,.53,8,7,INTERVENE,21,1868,16,1868,10,1868,29,1868,71,1683,0,6,0,INTERVENE,100,1868,.5,.5,100,MODEL,80,1868,.87,2.5,35,WATCH,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,1,0,1,0,INTERVENE,68,416,0,4.5,0,INTERVENE,57,304,.87,1.5,58,REINFORCE,13,339,.07,1,7,INTERVENE,13,339,74,339,8,339,0,1,0,INTERVENE,53,339,40,339,44,339,.37,1,37,WATCH,0,0,1,0,INTERVENE,14,40,62,0
Arts Academy at Benjamin Rush,804,HS,High School,11081 Knights Rd.,Philadelphia,PA,19154,215-281-2603,215-281-2674,District,N/A,613,rushartsonline.org,'9-12',Special Admit,5,Autonomy Network,Autonomy Network,,61,REINFORCE,9th out of 83,5th out of 10,48,WATCH,9th out of 79,7th out of 10,55,REINFORCE,15th out of 83,4th out of 10,81,MODEL,12th out of 84,8th out of 10,72,REINFORCE,7th out of 77,6th out of 9,49,243,2.86,8,36,WATCH,17,243,1.04,1.5,69,REINFORCE,51,242,3.12,8,39,WATCH,11,242,.64,1.5,43,WATCH,80,171,6.01,8,75,MODEL,2,171,.14,1.5,9,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,.06,2.3,6.5,35,WATCH,-2.1,0,6.5,0,INTERVENE,1.37,5.14,6.5,79,MODEL,100,448,7.94,8,99,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.44,.28,1.5,19,INTERVENE,.77,.89,1.5,59,REINFORCE,1.04,1.02,1.5,68,REINFORCE,53,616,5.35,8,67,REINFORCE,29,616,11,616,4,616,3,616,97,610,6,6,100,MODEL,100,616,.5,.5,100,MODEL,98,616,2.35,2.5,94,MODEL,74,.74,1,74,REINFORCE,93,.93,1,93,MODEL,22,.3,1,30,WATCH,97,151,4.02,4.5,89,MODEL,78,149,1.44,1.5,96,MODEL,11,149,.02,1,2,INTERVENE,22,149,67,149,31,149,.52,1,52,REINFORCE,64,149,5,149,79,149,1,1,100,MODEL,24,.24,1,24,INTERVENE,32,24,83,60
Swenson Arts and Technology High School,809,HS,High School,2750 Red Lion Rd.,Philadelphia,PA,19114,215-961-2009,215-961-2081,District,N/A,635,www.philasd.org/schools/swenson,'9-12',Citywide,4,Autonomy Network,Autonomy Network,,32,WATCH,38th out of 83,12th out of 19,10,INTERVENE,29th out of 79,12th out of 19,23,INTERVENE,50th out of 83,13th out of 19,69,REINFORCE,26th out of 84,6th out of 20,55,REINFORCE,21st out of 77,8th out of 18,18,381,0,8,0,INTERVENE,3,381,.17,1.5,12,INTERVENE,6,250,0,8,0,INTERVENE,0,250,.02,1.5,2,INTERVENE,32,206,1.16,8,14,INTERVENE,0,206,.03,1.5,2,INTERVENE,72,32,1.5,1.5,100,MODEL,-5.21,0,6.5,0,INTERVENE,-12.72,0,6.5,0,INTERVENE,-.73,.59,6.5,9,INTERVENE,99,433,7.75,8,97,MODEL,43,47,.31,6,5,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.04,0,1.5,0,INTERVENE,-.62,.19,1.5,13,INTERVENE,-.98,.01,1.5,1,INTERVENE,44,644,3.78,8,47,WATCH,28,644,15,644,7,644,7,644,97,618,6,6,100,MODEL,99,644,.46,.5,92,MODEL,93,644,1.92,2.5,77,MODEL,63,.63,1,63,REINFORCE,71,.71,1,71,REINFORCE,24,.36,1,36,WATCH,96,136,3.84,4.5,85,MODEL,30,135,.15,1.5,10,INTERVENE,68,135,1,1,100,MODEL,27,135,5,135,2,135,0,1,0,INTERVENE,44,135,53,135,34,135,.18,1,18,INTERVENE,30,.3,1,30,WATCH,8,22,83,49
The Workshop School,856,HS,High School,221 S. Hanson St.,Philadelphia,PA,19139,215-471-2960,215-471-2948,District,N/A,203,www.workshopschool.org,'9-12',Citywide,3,Innovation Network,Innovation Network,,26,WATCH,48th out of 83,17th out of 22,0,INTERVENE,79th out of 79,19th out of 19,27,WATCH,42nd out of 83,15th out of 22,50,REINFORCE,47th out of 84,17th out of 21,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,2,165,0,8,0,INTERVENE,0,165,0,1.5,0,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,13,82,0,8,0,INTERVENE,0,82,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-7.59,0,6.5,0,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,-3.37,0,6.5,0,INTERVENE,90,166,5.43,8,68,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.52,.76,1.5,51,REINFORCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,-.34,.33,1.5,22,INTERVENE,32,205,1.87,8,23,INTERVENE,27,205,14,205,7,205,20,205,82,199,4.15,6,69,REINFORCE,100,205,.5,.5,100,MODEL,86,205,1.36,2.5,54,REINFORCE,68,.68,1,68,REINFORCE,87,.87,1,87,MODEL,33,.58,1,58,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,38,.38,1,38,WATCH,27,70,93,60
Community Academy of Philadelphia Charter School ,W01,HS,High School,1100 E. Erie Ave.,Philadelphia,PA,19124,215-533-6700,215-533-6722,Charter,N/A,567,www.communityacademy.org,'9-12',Citywide,3,Charter,Charter,,56,REINFORCE,13th out of 83,3rd out of 22,10,INTERVENE,28th out of 79,5th out of 19,85,MODEL,5th out of 83,2nd out of 22,72,REINFORCE,21st out of 84,5th out of 21,40,WATCH,37th out of 77,13th out of 20,19,348,0,8,0,INTERVENE,2,348,.14,1.5,9,INTERVENE,27,226,.7,8,9,INTERVENE,2,226,.13,1.5,9,INTERVENE,38,218,1.81,8,23,INTERVENE,0,218,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.99,4.31,6.5,66,REINFORCE,8.13,6.5,6.5,100,MODEL,4.52,6.5,6.5,100,MODEL,90,355,5.37,8,67,REINFORCE,94,54,6,6,100,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.93,1.5,1.5,100,MODEL,4.3,1.5,1.5,100,MODEL,.35,.68,1.5,45,WATCH,47,599,4.33,8,54,REINFORCE,26,599,13,599,6,599,8,599,93,555,6,6,100,MODEL,91,599,.03,.5,7,INTERVENE,96,599,2.21,2.5,88,MODEL,73,.73,1,73,REINFORCE,90,.9,1,90,MODEL,19,.23,1,23,INTERVENE,87,140,2.19,4.5,49,WATCH,51,127,.71,1.5,48,WATCH,10,128,0,1,0,INTERVENE,13,128,77,128,3,128,0,1,0,INTERVENE,66,128,31,128,66,128,.81,1,81,MODEL,30,.3,1,30,WATCH,Data Not Available,Data Not Available,Data Not Available,57
World Communications Charter School,W03,HS,High School,512 S. Broad St.,Philadelphia,PA,19146,215-735-3198,215-735-3824,Charter,N/A,389,www.worldcomcs.org,'9-12',Citywide,3,Charter,Charter,,16,INTERVENE,58th out of 83,20th out of 22,0,INTERVENE,79th out of 79,19th out of 19,4,INTERVENE,83rd out of 83,22nd out of 22,56,REINFORCE,40th out of 84,14th out of 21,21,INTERVENE,51st out of 77,17th out of 20,3,74,0,8,0,INTERVENE,0,74,0,1.5,0,INTERVENE,6,86,0,8,0,INTERVENE,0,86,0,1.5,0,INTERVENE,17,77,0,8,0,INTERVENE,0,77,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-7.47,0,6.5,0,INTERVENE,-3.38,0,6.5,0,INTERVENE,-2.69,0,6.5,0,INTERVENE,56,96,0,8,0,INTERVENE,45,170,.57,6,9,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.99,0,1.5,0,INTERVENE,.65,.83,1.5,55,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,71,430,8,8,100,MODEL,20,430,4,430,1,430,3,430,78,387,1.82,6,30,WATCH,100,430,.5,.5,100,MODEL,81,430,.93,2.5,37,WATCH,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,82,92,1.17,4.5,26,WATCH,48,75,.63,1.5,42,WATCH,0,81,0,1,0,INTERVENE,30,81,70,81,0,81,0,1,0,INTERVENE,75,81,25,81,40,81,.29,1,29,WATCH,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Imhotep Institute Charter High School,W09,HS,High School,6201 N. 21st Street,Philadelphia,PA,19138,215-438-4140,215-438-4160,Charter,N/A,577,www.imhotepcharter.orgwebsite,'9-12',Citywide,3,Charter,Charter,,31,WATCH,40th out of 83,12th out of 22,0,INTERVENE,79th out of 79,19th out of 19,37,WATCH,28th out of 83,7th out of 22,70,REINFORCE,23rd out of 84,6th out of 21,19,INTERVENE,53rd out of 77,18th out of 20,5,208,0,8,0,INTERVENE,0,208,0,1.5,0,INTERVENE,5,216,0,8,0,INTERVENE,0,216,0,1.5,0,INTERVENE,18,147,0,8,0,INTERVENE,0,147,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.74,0,6.5,0,INTERVENE,-4.16,0,6.5,0,INTERVENE,-2.69,0,6.5,0,INTERVENE,96,308,7.05,8,88,MODEL,85,60,5.4,6,90,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.54,.23,1.5,15,INTERVENE,2.01,1.5,1.5,100,MODEL,-1.22,0,1.5,0,INTERVENE,75,658,8,8,100,MODEL,15,658,5,658,2,658,4,658,79,574,2.35,6,39,WATCH,100,658,.5,.5,100,MODEL,87,658,1.42,2.5,57,REINFORCE,64,.64,1,64,REINFORCE,89,.89,1,89,MODEL,20,.24,1,24,INTERVENE,75,153,.03,4.5,1,INTERVENE,62,117,1.02,1.5,68,REINFORCE,1,137,0,1,0,INTERVENE,6,137,93,137,1,137,0,1,0,INTERVENE,80,137,18,137,53,137,.55,1,55,REINFORCE,31,.31,1,31,WATCH,Data Not Available,Data Not Available,Data Not Available,42
Multi-Cultural Academy Charter School,W12,HS,High School,3821 N. Broad St.,Philadelphia,PA,19140,215-227-0513,215-227-0415,Charter,N/A,253,www.macs.k12.pa.us,'9-12',Citywide,3,Charter,Charter,,61,REINFORCE,6th out of 83,1st out of 22,9,INTERVENE,30th out of 79,6th out of 19,94,MODEL,3rd out of 83,1st out of 22,84,MODEL,9th out of 84,2nd out of 21,69,REINFORCE,9th out of 77,1st out of 20,23,167,.34,8,4,INTERVENE,1,167,.04,1.5,2,INTERVENE,23,114,.28,8,4,INTERVENE,2,114,.11,1.5,7,INTERVENE,38,148,1.78,8,22,INTERVENE,0,148,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.39,6.5,6.5,100,MODEL,2.56,6.5,6.5,100,MODEL,2.73,6.5,6.5,100,MODEL,94,163,6.37,8,80,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.6,1.3,1.5,87,MODEL,2.43,1.5,1.5,100,MODEL,1.71,1.36,1.5,90,MODEL,61,267,6.57,8,82,MODEL,27,267,7,267,1,267,4,267,86,251,6,6,100,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,71,.71,1,71,REINFORCE,90,.9,1,90,MODEL,16,.16,1,16,INTERVENE,98,46,4.11,4.5,91,MODEL,80,49,1.49,1.5,99,MODEL,0,48,0,1,0,INTERVENE,0,48,100,48,6,48,0,1,0,INTERVENE,92,48,2,48,63,48,.75,1,75,MODEL,53,.53,1,53,REINFORCE,Data Not Available,Data Not Available,Data Not Available,66
"Preparatory Charter School of Mathematics, Science, Technology and Careers",W13,HS,High School,1928 Point Breeze Ave.,Philadelphia,PA,19145,215-334-6144,215-334-6147,Charter,N/A,607,www.theprepcharterschool.org,'9-12',Citywide,4,Charter,Charter,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,54,REINFORCE,42nd out of 84,13th out of 20,55,REINFORCE,18th out of 77,7th out of 18,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,94,392,6.5,8,81,MODEL,87,38,5.62,6,94,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,35,623,2.45,8,31,WATCH,28,623,19,623,8,623,9,623,88,599,6,6,100,MODEL,100,623,.5,.5,100,MODEL,74,623,.35,2.5,14,INTERVENE,62,.62,1,62,REINFORCE,87,.87,1,87,MODEL,10,0,1,0,INTERVENE,93,150,3.3,4.5,73,REINFORCE,72,141,1.29,1.5,86,MODEL,1,142,0,1,0,INTERVENE,17,142,82,142,11,142,.03,1,3,INTERVENE,89,142,0,142,56,142,.63,1,63,REINFORCE,25,.25,1,25,WATCH,Data Not Available,Data Not Available,Data Not Available,45
